BBG ISIN;NAME;INDUSTRY_SECTOR;INDUSTRY_SUBGROUP;MKT_CAP_LAST_TRD;CUR_MKT_CAP; has_large_mkt_cap ; has_large_mkt_cap ; has_large_mkt_cap ;AMT_ISSUED;SECURITY_TYP;CNTRY_OF_DOMICILE;CRNCY;LAST_UPDATE_DT;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_MDY_ISSUER
CH0024638196 ISIN;SCHINDLER HOLDING-PART CERT;Industrial;Machinery-Electrical;20618.31;20621779372.51; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;#N/A N/A;#N/A N/A
CH0025238863 ISIN;KUEHNE & NAGEL INTL AG-REG;Industrial;Transport-Services;16692.00;16692000000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;25.07.2016;#N/A N/A;#N/A N/A
CH0030486770 ISIN;DAETWYLER HOLDING AG-BR;Industrial;Wire&Cable Products;2271.99;2275834666.52; -   ;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0030486770 ISIN;DAETWYLER HOLDING AG-BR;Industrial;Wire&Cable Products;2271.99;2275834666.52; -   ;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0038389992 ISIN;BB BIOTECH AG-REG;Financial;Closed-end Funds; #N/A N/A ; #N/A N/A ;; -   ; -   ;#N/A Field Not Applicable;Closed-End Fund;CH;USD;26.07.2016;#N/A N/A;#N/A N/A
CH0038863350 ISIN;NESTLE SA-REG;Consumer, Non-cyclical;Food-Misc/Diversified;248039.14;248039152000.00; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;AA;Aa2
CH0038863350 ISIN;NESTLE SA-REG;Consumer, Non-cyclical;Food-Misc/Diversified;248039.14;248039152000.00; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;AA;Aa2
CH0039821084 ISIN;METALL ZUG AG-REG;Diversified;Diversified Operations;1328.32;1328544598.88; -   ;;;#N/A Field Not Applicable;Common Stock;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0043238366 ISIN;ARYZTA AG;Consumer, Non-cyclical;Food-Baking;3454.83;3454830394.42; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;#N/A N/A;#N/A N/A
CH0043238366 ISIN;ARYZTA AG;Consumer, Non-cyclical;Food-Baking;3454.83;3454830394.42; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;04.08.2016;#N/A N/A;#N/A N/A
CH0045159024 ISIN;FINANCIERE RICHEMONT-DEP REC;Consumer, Cyclical;Retail-Jewelry;33849.09;33849089954.15; 1.00 ;;;#N/A Field Not Applicable;Receipt;CH;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CH0102484968 ISIN;JULIUS BAER GROUP LTD;Financial;Diversified Finan Serv;9109.04;9109044533.60; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;03.08.2016;#N/A N/A;A3
CH0121032772 ISIN;ALLIED WORLD ASSURANCE CO;Financial;Reinsurance;3543.71;3543711037.62; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;BBB+;#N/A N/A
CH0126881561 ISIN;SWISS RE AG;Financial;Reinsurance;30498.14;30498145916.70; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A;#N/A N/A
CH0126881561 ISIN;SWISS RE AG;Financial;Reinsurance;30498.14;30498145916.70; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A;#N/A N/A
CH0239518779 ISIN;HIAG IMMOBILIEN AG;Financial;Real Estate Oper/Develop;791.20;791200000.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CH;CHF;08.08.2016;#N/A N/A;#N/A N/A
CH0244100266 ISIN;UBS AG;Financial;Diversified Banking Inst; #N/A Field Not Applicable ; #N/A N/A ;; -   ; -   ;2500000000;EURO-DOLLAR;CH;USD;04.08.2016;A+;A1
CH0244767585 ISIN;UBS GROUP AG-REG;Financial;Diversified Banking Inst;51824.75;51824745487.28; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A-;#N/A N/A
CH0244767585 ISIN;UBS GROUP AG-REG;Financial;Diversified Banking Inst;51824.75;51824745487.28; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;A-;#N/A N/A
CNE1000001Q4 ISIN;CHINA CITIC BANK CORP LTD-H;Financial;Commer Banks Non-US;40254.85;40261754995.88; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;25.07.2016;#N/A N/A;#N/A N/A
CNE1000001S0 ISIN;AIR CHINA LTD-H;Consumer, Cyclical;Airlines;13717.40;13719694491.69; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;26.07.2016;#N/A N/A;#N/A N/A
CNE1000001T8 ISIN;ALUMINUM CORP OF CHINA LTD-H;Basic Materials;Metal-Aluminum;7897.72;7899174261.14; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;13.07.2016;#N/A N/A;#N/A N/A
CNE1000001W2 ISIN;ANHUI CONCH CEMENT CO LTD-H;Industrial;Bldg Prod-Cement/Aggreg;13866.01;13868300378.74; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A-;A3
CNE1000001Y8 ISIN;AVICHINA INDUSTRY & TECH-H;Industrial;Aerospace/Defense-Equip;4484.10;4484099899.49; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CNE1000001Z5 ISIN;BANK OF CHINA LTD-H;Financial;Commer Banks Non-US;141326.97;141350755669.98; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A;#N/A N/A
CNE1000001Z5 ISIN;BANK OF CHINA LTD-H;Financial;Commer Banks Non-US;141326.97;141350755669.98; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A;#N/A N/A
CNE100000205 ISIN;BANK OF COMMUNICATIONS CO-H;Financial;Commer Banks Non-US;57839.12;57846568559.25; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;27.06.2016;A-;#N/A N/A
CNE100000205 ISIN;BANK OF COMMUNICATIONS CO-H;Financial;Commer Banks Non-US;57839.12;57846568559.25; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;27.06.2016;A-;#N/A N/A
CNE100000296 ISIN;BYD CO LTD-H;Consumer, Cyclical;Auto-Cars/Light Trucks;21951.06;21954665153.50; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;#N/A N/A;#N/A N/A
CNE1000002D0 ISIN;CHINA BLUECHEMICAL LTD - H;Basic Materials;Agricultural Chemicals;956.84;956844595.46; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;08.07.2016;#N/A N/A;#N/A N/A
CNE1000002F5 ISIN;CHINA COMMUNICATIONS CONST-H;Industrial;Building&Construct-Misc;24305.90;24310166612.70; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CNE1000002G3 ISIN;CHINA COMMUNICATIONS SERVI-H;Industrial;Building-Heavy Construct;3839.43;3839429552.10; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CNE1000002H1 ISIN;CHINA CONSTRUCTION BANK-H;Financial;Commer Banks Non-US;175922.26;175923907328.86; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A;#N/A N/A
CNE1000002H1 ISIN;CHINA CONSTRUCTION BANK-H;Financial;Commer Banks Non-US;175922.26;175923907328.86; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A;#N/A N/A
CNE1000002K5 ISIN;CHINA EASTERN AIRLINES CO-H;Consumer, Cyclical;Airlines;12686.50;12688774401.34; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;30.06.2016;#N/A N/A;#N/A N/A
CNE1000002L3 ISIN;CHINA LIFE INSURANCE CO-H;Financial;Life/Health Insurance;82339.56;82354176843.69; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;28.07.2016;AA-;#N/A N/A
CNE1000002L3 ISIN;CHINA LIFE INSURANCE CO-H;Financial;Life/Health Insurance;82339.56;82354176843.69; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;28.07.2016;AA-;#N/A N/A
CNE1000002M1 ISIN;CHINA MERCHANTS BANK-H;Financial;Commer Banks Non-US;63388.66;63400601656.10; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;19.07.2016;BBB+;#N/A N/A
CNE1000002R0 ISIN;CHINA SHENHUA ENERGY CO-H;Energy;Coal;44435.47;44443999818.79; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;01.08.2016;AA-;#N/A N/A
CNE1000002S8 ISIN;CHINA SHIPPING DEVELOPMENT-H;Industrial;Transport-Marine;3433.64;3434233379.59; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;05.07.2016;#N/A N/A;#N/A N/A
CNE1000002V2 ISIN;CHINA TELECOM CORP LTD-H;Communications;Telecom Services;41212.97;41212973678.91; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;20.07.2016;#N/A N/A;#N/A N/A
CNE1000002Z3 ISIN;DATANG INTL POWER GEN CO-H;Utilities;Electric-Generation;6952.91;6954281171.29; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CNE100000304 ISIN;DONGFANG ELECTRIC CORP LTD-H;Industrial;Power Conv/Supply Equip;3228.19;3228855991.34; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CNE100000312 ISIN;DONGFENG MOTOR GRP CO LTD-H;Consumer, Cyclical;Auto-Cars/Light Trucks;10463.51;10463506744.02; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;11.07.2016;A;A1
CNE100000338 ISIN;GREAT WALL MOTOR COMPANY-H;Consumer, Cyclical;Auto-Cars/Light Trucks;12831.80;12833939013.62; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;#N/A N/A;#N/A N/A
CNE100000387 ISIN;GUANGZHOU BAIYUNSHAN PHARM-H;Consumer, Non-cyclical;Therapeutics;4761.23;4762173792.22; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CNE1000003D8 ISIN;HUADIAN POWER INTL CORP-H;Utilities;Electric-Generation;7254.75;7256195654.04; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;29.07.2016;#N/A N/A;#N/A N/A
CNE1000003G1 ISIN;IND & COMM BK OF CHINA-H;Financial;Commer Banks Non-US;226624.36;226663896478.78; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;05.08.2016;A;#N/A N/A
CNE1000003R8 ISIN;MAANSHAN IRON & STEEL-H;Basic Materials;Steel-Producers;2847.03;2847572582.99; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;03.08.2016;#N/A N/A;#N/A N/A
CNE1000003W8 ISIN;PETROCHINA CO LTD-H;Energy;Oil Comp-Integrated;190860.33;190900046203.71; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;29.07.2016;#N/A N/A;#N/A N/A
CNE1000003W8 ISIN;PETROCHINA CO LTD-H;Energy;Oil Comp-Integrated;190860.33;190900046203.71; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;29.07.2016;#N/A N/A;#N/A N/A
CNE1000003X6 ISIN;PING AN INSURANCE GROUP CO-H;Financial;Multi-line Insurance;88513.28;88525086262.16; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;01.08.2016;#N/A N/A;#N/A N/A
CNE1000003X6 ISIN;PING AN INSURANCE GROUP CO-H;Financial;Multi-line Insurance;88513.28;88525086262.16; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;01.08.2016;#N/A N/A;#N/A N/A
CNE100000437 ISIN;SHANGHAI ELECTRIC GRP CO L-H;Industrial;Machinery-General Indust;13383.91;13386641045.35; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;A;#N/A N/A
CNE1000004C8 ISIN;SINOPEC SHANGHAI PETROCHEM-H;Basic Materials;Petrochemicals;8481.87;8483379388.79; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CNE1000004J3 ISIN;TRAVELSKY TECHNOLOGY LTD-H;Technology;Applications Software;5832.16;5832161271.03; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;01.08.2016;#N/A N/A;#N/A N/A
CNE1000004L9 ISIN;WEICHAI POWER CO LTD-H;Consumer, Cyclical;Auto/Trk Prts&Equip-Repl;5498.08;5499025514.24; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;23.06.2016;BBB    *-;#N/A N/A
CNE1000004S4 ISIN;ZHEJIANG EXPRESSWAY CO-H;Consumer, Non-cyclical;Public Thoroughfares;4720.02;4720015887.44; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;28.06.2016;#N/A N/A;#N/A N/A
CNE1000004Y2 ISIN;ZTE CORP-H;Communications;Telecommunication Equip;8665.66;8667363176.82; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;04.08.2016;#N/A N/A;#N/A N/A
CNE100000528 ISIN;CHINA COAL ENERGY CO-H;Energy;Coal;10360.71;10362548179.94; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;04.08.2016;#N/A N/A;#N/A N/A
CNE100000536 ISIN;CHINA SHIPPING CONTAINER-H;Industrial;Transport-Marine;5619.69;5620767370.68; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;20.07.2016;#N/A N/A;#N/A N/A
CNE100000593 ISIN;PICC PROPERTY & CASUALTY-H;Financial;Property/Casualty Ins;24087.00;24086997757.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;18.07.2016;#N/A N/A;#N/A N/A
CNE1000006Z4 ISIN;HUANENG POWER INTL INC-H;Utilities;Electric-Generation;14187.37;14189921726.18; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;29.07.2016;NR;#N/A N/A
CNE1000007Z2 ISIN;CHINA RAILWAY GROUP LTD-H;Industrial;Building-Heavy Construct;22512.32;22516641524.47; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;03.08.2016;BBB+;#N/A N/A
CNE1000009Q7 ISIN;CHINA PACIFIC INSURANCE GR-H;Financial;Life/Health Insurance;35421.31;35427013514.08; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;27.06.2016;#N/A N/A;#N/A N/A
CNE100000F20 ISIN;BBMG CORPORATION-H;Industrial;Bldg Prod-Cement/Aggreg;6153.21;6154382021.37; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CNE100000FF3 ISIN;METALLURGICAL CORP OF CHIN-H;Industrial;Building-Heavy Construct;78225.96;78241961972.98; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;HKD;08.08.2016;#N/A N/A;#N/A N/A
CNE100000FN7 ISIN;SINOPHARM GROUP CO-H;Consumer, Non-cyclical;Medical-Whsle Drug Dist;14269.17;14269168757.28; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;04.08.2016;#N/A N/A;#N/A N/A
CNE100000HD4 ISIN;CHINA LONGYUAN POWER GROUP-H;Energy;Energy-Alternate Sources;6982.89;6982894069.40; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;A-;#N/A N/A
CNE100000HF9 ISIN;CHINA MINSHENG BANKING-H;Financial;Commer Banks Non-US;48326.14;48335351486.10; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;19.07.2016;BBB;#N/A N/A
CNE100000Q35 ISIN;GUANGZHOU AUTOMOBILE GROUP-H;Consumer, Cyclical;Auto-Cars/Light Trucks;19008.66;19012258336.29; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;03.08.2016;#N/A N/A;#N/A N/A
CNE100000Q43 ISIN;AGRICULTURAL BANK OF CHINA-H;Financial;Commer Banks Non-US;149333.90;149364901169.69; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;USD;01.08.2016;A;#N/A N/A
CNE1000016V2 ISIN;CITIC SECURITIES CO LTD-H;Financial;Finance-Invest Bnkr/Brkr;29119.03;29124461872.54; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;BBB;#N/A N/A
CNE100001922 ISIN;NEW CHINA LIFE INSURANCE C-H;Financial;Life/Health Insurance;127154.10;127176022109.81; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;HKD;08.08.2016;#N/A N/A;#N/A N/A
CNE1000019K9 ISIN;HAITONG SECURITIES CO LTD-H;Financial;Finance-Invest Bnkr/Brkr;5557.60;5557597176.60; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;13.07.2016;BBB;#N/A N/A
CNE100001F60 ISIN;HUADIAN FUXIN ENERGY CORP -H;Utilities;Electric-Generation;15806.97;15806967657.60; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;CN;HKD;08.08.2016;#N/A N/A;#N/A N/A
CNE100001MK7 ISIN;PEOPLE'S INSURANCE CO GROU-H;Financial;Property/Casualty Ins;16954.61;16954611037.24; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CNE100001NP4 ISIN;CHINA MACHINERY ENGINEERIN-H;Industrial;Building&Construct-Misc; #N/A N/A ; #N/A N/A ;;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CNE100001NT6 ISIN;CHINA GALAXY SECURITIES CO-H;Financial;Diversified Finan Serv;8717.35;8717348484.24; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A
CNE100001QN2 ISIN;BANK OF CHONGQING CO LTD-H;Financial;Commer Banks Non-US;18731.06;18731058281.95; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;HKD;08.08.2016;#N/A N/A;#N/A N/A
CNE100001QS1 ISIN;CHINA CINDA ASSET MANAGEME-H;Financial;Invest Mgmnt/Advis Serv;12152.79;12152793220.82; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;CN;USD;20.07.2016;A-;A3
CNE100001QW3 ISIN;CHINA EVERBRIGHT BANK CO L-H;Financial;Commer Banks Non-US;2953.56;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;NR;#N/A N/A
CNE100001T98 ISIN;DALIAN WANDA COMMERCIAL PR-H;Financial;Real Estate Oper/Develop;2773.33;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;CN;USD;#N/A Field Not Applicable;BBB;#N/A N/A
DE0001102333 ISIN;BUNDESREPUB. DEUTSCHLAND;Government;Sovereign; #N/A Field Not Applicable ; #N/A Field Not Applicable ;; -   ; -   ;18000000000;EURO-ZONE;DE;EUR;08.08.2016;AAAu;#N/A N/A
DE0001137495 ISIN;BUNDESSCHATZANWEISUNGEN;Government;Sovereign; #N/A Field Not Applicable ; #N/A Field Not Applicable ;; -   ; -   ;14000000000;EURO-ZONE;DE;EUR;08.08.2016;AAAu;#N/A N/A
DE0005140008 ISIN;DEUTSCHE BANK AG-REGISTERED;Financial;Diversified Banking Inst;18137.44;18137441672.65; -   ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;05.08.2016;BBB+;Baa2
DE0005552004 ISIN;DEUTSCHE POST AG-REG;Industrial;Transport-Services;36988.99;36988987453.50; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;03.08.2016;NR;A3
DE0005785604 ISIN;FRESENIUS SE & CO KGAA;Consumer, Non-cyclical;Dialysis Centers;40735.20;40724364414.67; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;20.07.2016;BBB-;Baa3
DE0005785604 ISIN;FRESENIUS SE & CO KGAA;Consumer, Non-cyclical;Dialysis Centers;40735.20;40724364414.67; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;20.07.2016;BBB-;Baa3
DE0005785802 ISIN;FRESENIUS MEDICAL CARE AG &;Consumer, Non-cyclical;Dialysis Centers;28598.26;28598259614.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;02.08.2016;BBB-;WR
DE0005785802 ISIN;FRESENIUS MEDICAL CARE AG &;Consumer, Non-cyclical;Dialysis Centers;28598.26;28598259614.20; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;02.08.2016;BBB-;WR
DE0005909006 ISIN;BILFINGER SE;Industrial;Engineering/R&D Services;1786.66;#N/A N/A; -   ;;;#N/A Field Not Applicable;Common Stock;DE;USD;#N/A Field Not Applicable;BB+;#N/A N/A
DE0006231004 ISIN;INFINEON TECHNOLOGIES AG;Technology;Electronic Compo-Semicon;17887.83;17887828921.80; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;02.08.2016;BBB;#N/A N/A
DE0006483001 ISIN;LINDE AG;Basic Materials;Industrial Gases;27785.68;27785683728.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;05.08.2016;A+;#N/A N/A
DE0006483001 ISIN;LINDE AG;Basic Materials;Industrial Gases;27785.68;27785683728.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;DE;USD;05.08.2016;A+;#N/A N/A
DE0006599905 ISIN;MERCK KGAA;Consumer, Non-cyclical;Medical-Drugs;47570.76;47535936687.90; 1.00 ; 1.00 ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;05.08.2016;A;Baa1
DE0007100000 ISIN;DAIMLER AG-REGISTERED SHARES;Consumer, Cyclical;Auto-Cars/Light Trucks;72481.49;72481487034.25; 1.00 ; -   ; 1.00 ;#N/A Field Not Applicable;Common Stock;DE;USD;05.08.2016;A-;#N/A N/A
